來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A172000113,FY115 Checkmarx源碼檢測工具使用授權服務(2026/04/01~2027/03/31),https://vendor.itri.org.tw/broadBdetail2.aspx?seq=ECC3B02B-07CE-4271-A7B6-1822247FA1F4,,115/03/10,115/03/16,P,,,,,,,,
工研院,A522000349,CATR實驗環境空調節能系統優化工程及設備,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=2A4A9BB0-D1A4-4665-A6A8-DBA8D04EBC04,,115/03/10,115/03/19,P,,,,,,,,
工研院,A532001257,六足運動系統(含資料採集功能套件),https://vendor.itri.org.tw/broadBdetail2.aspx?seq=6B888458-EA7B-4B00-92FE-7BEDEBEC1554,,115/03/09,115/03/17,P,,,,,,,,
工研院,A562000424,CPHI Japan 2026臺灣醫藥主題館專案,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=F187E636-D3FD-43D5-BD67-ED135579ADAA,,115/03/10,115/03/19,P,,,,,,,,
工研院,A652000102,六軸協作型機器手臂與夾爪暨配電整合系統,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=1DBD95F3-3D82-4CFE-BFC0-2A499BE888EF,,115/03/09,115/03/16,P,,,,,,,,
資策會,PP26020045,「創新生物產品使用生態探討與國際交流計畫」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020045&ord=3,2000000,115/03/11,115/03/17,第3次,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/03/11,115/03/17,公告中,,,,,,,,
資策會,PP26020103,「居家式照護科技共通串接標準資料格式制定」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020103&ord=2,850000,115/03/11,115/03/17,第2次,,,,,,,,
資策會,PP26020104,「照顧科技方案整合與居家型照顧場域驗證示範」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020104&ord=1,950000,115/03/09,115/03/13,第1次,,,,,,,,
資策會,PP26030025,「用電檢驗及水電修繕」供應服務採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030025&ord=1,2016000,115/03/10,115/03/19,第1次,,,,,,,,
資策會,PP26030026,「AI技術應用於電力領域之國際案例與發展趨勢研析報告」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030026&ord=1,997000,115/03/09,115/03/16,第1次,,,,,,,,
資策會,PP26030027,「企業 AI 即戰力論壇」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030027&ord=1,950000,115/03/09,115/03/13,第1次,,,,,,,,
資策會,PP26030029,"「Embedded, Edge & IoT Development Expo 2026 Tokyo展場攤位設計搭建」採購案",https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030029&ord=1,1260000,115/03/09,115/03/13,第1次,,,,,,,,
資策會,PP26030033,「金融科技共創平台廣宣交流活動暨台北金融科技展園區館勞務委託」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030033&ord=1,3500000,115/03/11,115/03/20,第1次,,,,,,,,
資策會,PP26030036,「Realwear智慧眼鏡」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030036&ord=1,280000,115/03/10,115/03/16,第1次,,,,,,,,
資策會,PP26030037,「製造業Edge AI技術功能盤點與整合應用調查」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030037&ord=1,900000,115/03/11,115/03/18,第1次,,,,,,,,
