來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/03/30,115/03/17,公告中,,,,,,,,
資策會,PP26030091,「公開徵求系統AI應用驗證服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030091&ord=2,400000,115/03/30,115/04/07,第2次,,,,,,,,
資策會,PP26030121,「Edge AI設備應用聯盟成立大會」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030121&ord=1,1000000,115/03/30,115/04/07,第1次,,,,,,,,
