來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A142000612,115年綜研館冰水主機汰換工程（詳採購規範書）,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=F37919F2-55A6-4F02-887C-B332C0D0783E,,115/04/20,115/04/29,P,,,,,,,,
工研院,A272000420,「視覺語言模型與數位孿生應用環境建置服務委託」,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=1D76CB52-F369-4979-B38B-C1E8E2EC5701,,115/04/20,115/04/29,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/04/21,115/03/17,公告中,,,,,,,,
資策會,PP26040074,「印刷電路板產業鏈需求盤點及輔導」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040074&ord=1,3000000,115/04/21,115/05/04,第1次,,,,,,,,
資策會,PP26040081,「工具機或機電設備線束之圖面解析AI實證案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040081&ord=1,900000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040085,「EBRD Ukraine HCII Tech Study Tour機票，住宿及交通」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040085&ord=1,1490000,115/04/20,115/04/24,第1次,,,,,,,,
資策會,PP26040086,「生醫產業跨境合作契約風險管理委外研究案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040086&ord=1,1300000,115/04/20,115/04/27,第1次,,,,,,,,
資策會,PP26040088,「電子資訊業綠色產品設計導入與ESPR 對齊及數位化導入試行研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040088&ord=1,1400000,115/04/20,115/04/24,第1次,,,,,,,,
資策會,PP26040089,「特殊化學濕製程之AI實證案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040089&ord=1,900000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040096,「亮點案例內容採訪編輯製作」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040096&ord=1,1000000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040099,「2026年－全台車輛動態點位加值資料」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040099&ord=1,650000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040100,「農業金庫GPU主機」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040100&ord=1,6195000,115/04/21,115/04/30,第1次,,,,,,,,
