來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A072000180,氣體不純物分析系統,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=E41FA9A8-62CF-4091-BD1B-EE1A98521602,,115/04/22,115/04/27,P,,,,,,,,
工研院,A142000612,115年綜研館冰水主機汰換工程（詳採購規範書）,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=F37919F2-55A6-4F02-887C-B332C0D0783E,,115/04/20,115/04/29,P,,,,,,,,
工研院,A272000420,「視覺語言模型與數位孿生應用環境建置服務委託」,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=1D76CB52-F369-4979-B38B-C1E8E2EC5701,,115/04/20,115/04/29,P,,,,,,,,
工研院,A512A01588,高頻光電頻寬量測系統-高速自動耦光平台、RIN量測模組,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=207E39C7-2638-4BD9-96C5-06164B759AF5,,115/04/21,115/05/12,P,,,,,,,,
工研院,A512B01588,高頻光電頻寬量測系統-110 GHz 光電元件分析儀、MXA信號分析儀及可調式雷射系統,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=126DEC1B-D7C9-4057-B215-29AF6A4DD51C,,115/04/22,115/05/05,P,,,,,,,,
工研院,A562000896,Medical Japan 2026 主題專館設計建置與展示作業,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=9B30D34C-B352-4E48-B2F5-27A88934BD75,,115/04/21,115/05/06,P,,,,,,,,
工研院,A572000226,2026技術成果之數位媒材製作,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=0318122F-B3E8-4032-8B97-3D259DCB1264,,115/04/21,115/05/04,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/04/22,115/03/17,公告中,,,,,,,,
資策會,PP26040074,「印刷電路板產業鏈需求盤點及輔導」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040074&ord=1,3000000,115/04/21,115/05/04,第1次,,,,,,,,
資策會,PP26040081,「工具機或機電設備線束之圖面解析AI實證案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040081&ord=1,900000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040085,「EBRD Ukraine HCII Tech Study Tour機票，住宿及交通」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040085&ord=1,1490000.0,115/04/20,115/04/24,第1次,,,,,,,,
資策會,PP26040086,「生醫產業跨境合作契約風險管理委外研究案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040086&ord=1,1300000.0,115/04/20,115/04/27,第1次,,,,,,,,
資策會,PP26040088,「電子資訊業綠色產品設計導入與ESPR 對齊及數位化導入試行研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040088&ord=1,1400000.0,115/04/20,115/04/24,第1次,,,,,,,,
資策會,PP26040089,「特殊化學濕製程之AI實證案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040089&ord=1,900000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040092,「用戶用電資料蒐集採購簡易型能源管理系統（Route B）」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040092&ord=1,990000,115/04/22,115/04/27,第1次,,,,,,,,
資策會,PP26040096,「亮點案例內容採訪編輯製作」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040096&ord=1,1000000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040099,「2026年－全台車輛動態點位加值資料」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040099&ord=1,650000,115/04/21,115/04/27,第1次,,,,,,,,
資策會,PP26040100,「農業金庫GPU主機」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040100&ord=1,6195000,115/04/21,115/04/30,第1次,,,,,,,,
資策會,PP26040101,「半導體產業人才調查研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040101&ord=1,850000,115/04/22,115/04/27,第1次,,,,,,,,
資策會,PP26040102,「智慧次系統國際供應鏈產業交流會」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040102&ord=1,1350000,115/04/22,115/04/27,第1次,,,,,,,,
資策會,PP26040103,「推動建築職安合規性數位管理創新服務試行」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26040103&ord=1,950000,115/04/22,115/04/27,第1次,,,,,,,,
