來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A512000856,78館實驗室環境潔淨度及溫溼度控制委託專業設計製作,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=C6EA1029-3FAC-4C2D-A441-70233B2A92CC,,115/03/17,115/03/30,P,,,,,,,,
工研院,A512001068,高效能NVMe資料儲存裝置,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=78FE070B-D808-4539-B81C-95F7232E0CE9,,115/03/17,115/04/07,P,,,,,,,,
工研院,A522000429,建構非地面網路於通透模式下的端到端通訊協定測試環境,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=8911E4C5-B348-420F-A8D3-81507456BB0A,,115/03/18,115/03/27,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/03/19,115/03/17,公告中,,,,,,,,
資策會,PP26030067,「智慧杆技術支援中心設備展示與研析」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030067&ord=1,1450000,115/03/17,115/03/24,第1次,,,,,,,,
資策會,PP26030069,「2026金融科技產業暨新創調查研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030069&ord=1,700000,115/03/18,115/03/23,第1次,,,,,,,,
資策會,PP26030071,「115年先進醫材與生醫晶片法制研討會與驗證推廣活動」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030071&ord=1,650000.0,115/03/18,115/03/25,第1次,,,,,,,,
資策會,PP26030074,「Microsoft Unified Support 支援服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030074&ord=1,2079000,115/03/19,115/03/26,第1次,,,,,,,,
