來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A272000280,開放網路VoNR效能驗證環境建置委託,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=9DB4DD1D-06F4-4379-8E9D-4DCEF33276E6,,115/03/24,115/04/02,P,,,,,,,,
工研院,A352000023,FY115資深金幣及配件,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=1DF2434F-FD41-48A5-B134-C1D19BC27A74,,115/03/24,115/04/08,P,,,,,,,,
工研院,A512001059,功率循環測試系統平台,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=377C1F8E-C7E9-4590-84EC-02A3E22E6E53,,115/03/25,115/04/07,P,,,,,,,,
工研院,A512001211,15館BCl3/Cl2氣瓶櫃,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=16A6F6C2-5074-4E30-B249-2E959DB8C813,,115/03/25,115/04/10,P,,,,,,,,
工研院,A512001233,17館3DICFFU,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=6416B89F-1619-486D-AAD6-DF1BF9A4D655,,115/03/25,115/04/02,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/03/26,115/03/17,公告中,,,,,,,,
資策會,PP26030077,「AI產業應用交流與專家顧問協作-健康運動領域」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030077&ord=1,255000,115/03/24,115/03/30,第1次,,,,,,,,
資策會,PP26030093,「CMMI V3.1 流程調整與評鑑」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030093&ord=1,830000,115/03/24,115/03/31,第1次,,,,,,,,
資策會,PP26030094,「停車場收費管理整合系統建置」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030094&ord=1,705600,115/03/24,115/03/31,第1次,,,,,,,,
資策會,PP26030098,「次世代通訊PMO中英文網站」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030098&ord=1,1000000,115/03/24,115/03/27,第1次,,,,,,,,
資策會,PP26030100,「115年AI驅動供應鏈智慧製造成效追蹤調查」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030100&ord=1,250000,115/03/24,115/03/30,第1次,,,,,,,,
資策會,PP26030101,「115年政府數位服務幸福感調查報告」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030101&ord=1,550000,115/03/26,115/04/07,第1次,,,,,,,,
資策會,PP26030104,「半導體產業產品層級碳足跡計算體系研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030104&ord=1,400000,115/03/24,115/03/30,第1次,,,,,,,,
資策會,PP26030105,「資通訊產業企業流程AI需求盤點分析報告」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030105&ord=1,900000,115/03/24,115/04/07,第1次,,,,,,,,
資策會,PP26030108,「智慧終端服務機制介面設計」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030108&ord=1,1480000,115/03/26,115/03/30,第1次,,,,,,,,
