來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
工研院,A532001257,六足運動系統(含資料採集功能套件),https://vendor.itri.org.tw/broadBdetail2.aspx?seq=6B888458-EA7B-4B00-92FE-7BEDEBEC1554,,115/03/09,115/03/17,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076&ord=1,,-,-,第1次,勞務,,115/03/02,115/03/09 17:00,115/03/09 17:10,,,
資策會,PP26020104,「照顧科技方案整合與居家型照顧場域驗證示範」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020104&ord=1,,115/03/09,115/03/13,第1次,,,,,,,,
資策會,PP26030026,「AI技術應用於電力領域之國際案例與發展趨勢研析報告」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030026&ord=1,,115/03/09,115/03/16,第1次,,,,,,,,
資策會,PP26030027,「企業 AI 即戰力論壇」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030027&ord=1,,115/03/09,115/03/13,第1次,,,,,,,,
資策會,PP26030029,"「Embedded, Edge & IoT Development Expo 2026 Tokyo展場攤位設計搭建」採購案",https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26030029&ord=1,,115/03/09,115/03/13,第1次,,,,,,,,
